Name,Coun_cde,County_code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mombasa,1,KE01,"939,370","966,612","994,643","1,023,488","1,053,169","1,083,711","1,115,139","1,147,478","1,180,755","1,214,997","1,250,231"
Kwale ,2,KE02,"649,931","668,779","688,174","708,131","728,666","749,798","771,542","793,917","816,940","840,631","865,010"
Kilifi,3,KE03,"1,109,735","1,141,917","1,175,033","1,209,109","1,244,173","1,280,254","1,317,381","1,355,585","1,394,897","1,435,349","1,476,975"
Tana River,4,KE04,"240,075","247,037","254,201","261,573","269,159","276,964","284,996","293,261","301,766","310,517","319,522"
Lamu ,5,KE05,"101,539","104,484","107,514","110,632","113,840","117,141","120,538","124,034","127,631","131,332","135,141"
Taita taveta,6,KE06,"284,657","292,912","301,407","310,147","319,142","328,397","337,920","347,720","357,804","368,180","378,857"
Embu ,7,KE07,"516,212","526,536","537,067","547,808","558,764","569,940","581,339","592,965","604,825","616,921","629,260"
Wajir ,8,KE08,"661,941","720,192","783,569","852,523","927,545","1,009,169","1,097,976","1,194,597","1,299,722","1,414,097","1,538,538"
Mandera,9,KE09,"1,025,756","1,116,023","1,214,233","1,321,085","1,437,340","1,563,826","1,701,443","1,851,170","2,014,073","2,191,312","2,384,147"
Marsabit ,10,KE10,"291,166","296,989","302,929","308,988","315,167","321,471","327,900","334,458","341,147","347,970","354,930"
Homabay ,11,KE11,"963,794","984,034","1,004,698","1,025,797","1,047,339","1,069,333","1,091,789","1,114,716","1,138,126","1,162,026","1,186,429"
Meru,12,KE12,"1,356,301","1,383,427","1,411,096","1,439,317","1,468,104","1,497,466","1,527,415","1,557,964","1,589,123","1,620,905","1,653,323"
Tharaka-nithi,13,KE13,"365,330","372,637","380,089","387,691","395,445","403,354","411,421","419,649","428,042","436,603","445,335"
Elgeyo-Marakwet ,14,KE14,"369,998","383,318","397,117","411,414","426,224","441,569","457,465","473,934","490,995","508,671","526,983"
Kitui,15,KE15,"1,012,709","1,032,963","1,053,622","1,074,695","1,096,189","1,118,113","1,140,475","1,163,284","1,186,550","1,210,281","1,234,487"
Machakos,16,KE16,"1,098,584","1,120,556","1,142,967","1,165,826","1,189,143","1,212,926","1,237,184","1,261,928","1,287,166","1,312,910","1,339,168"
Makueni ,17,KE17,"884,527","902,218","920,262","938,667","957,440","976,589","996,121","1,016,043","1,036,364","1,057,092","1,078,233"
Nyandarua,18,KE18,"596,268","605,808","615,501","625,349","635,355","645,521","655,849","666,342","677,004","687,836","698,841"
Nyeri,19,KE19,"693,558","704,655","715,929","727,384","739,022","750,847","762,860","775,066","787,467","800,067","812,868"
Kirinyaga,20,KE20,"528,054","536,503","545,087","553,808","562,669","571,672","580,819","590,112","599,554","609,146","618,893"
Muranga ,21,KE21,"942,581","957,662","972,985","988,553","1,004,369","1,020,439","1,036,766","1,053,355","1,070,208","1,087,332","1,104,729"
Kiambu ,22,KE22,"1,623,282","1,649,255","1,675,643","1,702,453","1,729,692","1,757,367","1,785,485","1,814,053","1,843,078","1,872,567","1,902,528"
Turkana,23,KE23,"855,399","886,193","918,096","951,148","985,389","1,020,863","1,057,614","1,095,688","1,135,133","1,175,998","1,218,334"
West Pokot,24,KE24,"512,690","531,147","550,268","570,078","590,601","611,862","633,889","656,709","680,351","704,843","730,218"
Samburu,25,KE25,"223,947","232,009","240,361","249,014","257,979","267,266","276,888","286,856","297,183","307,881","318,965"
Trans Nzoia,26,KE26,"818,757","848,232","878,769","910,404","943,179","977,133","1,012,310","1,048,753","1,086,508","1,125,623","1,166,145"
Uasin Gishu,27,KE27,"894,179","926,369","959,719","994,269","1,030,062","1,067,145","1,105,562","1,145,362","1,186,595","1,229,312","1,273,568"
Kakamega ,28,KE28,"1,660,651","1,702,167","1,744,721","1,788,339","1,833,048","1,878,874","1,925,846","1,973,992","2,023,342","2,073,926","2,125,774"
Nandi,29,KE29,"752,965","780,072","808,154","837,248","867,389","898,615","930,965","964,480","999,201","1,035,172","1,072,438"
Baringo ,30,KE30,"555,561","575,561","596,281","617,748","639,986","663,026","686,895","711,623","737,242","763,782","791,278"
Laikipia ,31,KE31,"399,227","413,599","428,489","443,914","459,895","476,451","493,604","511,373","529,783","548,855","568,614"
Nakuru,32,KE32,"1,603,325","1,661,045","1,720,842","1,782,793","1,846,973","1,913,464","1,982,349","2,053,713","2,127,647","2,204,242","2,283,595"
Narok,33,KE33,"850,920","881,553","913,289","946,167","980,229","1,015,518","1,052,076","1,089,951","1,129,189","1,169,840","1,211,954"
Isiolo,34,KE34,"143,294","146,160","149,083","152,065","155,106","158,208","161,372","164,600","167,892","171,250","174,675"
Kericho ,35,KE35,"758,339","785,639","813,922","843,223","873,579","905,028","937,609","971,363","1,006,332","1,042,560","1,080,092"
Bomet,36,KE36,"724,186","750,257","777,266","805,248","834,236","864,269","895,383","927,616","961,011","995,607","1,031,449"
Kajiado ,37,KE37,"687,312","712,055","737,689","764,246","791,759","820,262","849,792","880,384","912,078","944,913","978,930"
Vihiga,38,KE38,"554,622","568,488","582,700","597,267","612,199","627,504","643,191","659,271","675,753","692,647","709,963"
Bungoma,39,KE39,"1,630,934","1,671,707","1,713,500","1,756,338","1,800,246","1,845,252","1,891,383","1,938,668","1,987,135","2,036,813","2,087,733"
Busia ,40,KE40,"488,075","500,277","512,784","525,603","538,743","552,212","566,017","580,168","594,672","609,539","624,777"
Siaya,41,KE41,"842,304","859,992","878,052","896,491","915,318","934,539","954,165","974,202","994,660","1,015,548","1,036,875"
Kisumu,42,KE42,"968,909","989,256","1,010,030","1,031,241","1,052,897","1,075,008","1,097,583","1,120,632","1,144,166","1,168,193","1,192,725"
Garissa,43,KE43,"623,060","677,889","737,544","802,447","873,063","949,892","1,033,483","1,124,429","1,223,379","1,331,036","1,448,168"
Migori,44,KE44,"917,170","936,431","956,096","976,174","996,673","1,017,603","1,038,973","1,060,792","1,083,068","1,105,813","1,129,035"
Kisii ,45,KE45,"1,152,282","1,176,480","1,201,186","1,226,411","1,252,166","1,278,461","1,305,309","1,332,720","1,360,707","1,389,282","1,418,457"
Nyamira ,46,KE46,"598,252","610,815","623,642","636,739","650,110","663,763","677,702","691,933","706,464","721,300","736,447"
Nairobi,47,KE47,"3,138,369","3,257,627","3,381,417","3,509,911","3,643,287","3,781,732","3,925,438","4,074,605","4,229,440","4,390,158","4,556,984"
